"AUN Number","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112000000,"Adams",12,"LINCOLN IU 12          ",5,0.0,0.0,0.0,0.0,15.4,84.6,0.0,0.0,14.3,85.7
112000000,"Adams",12,"LINCOLN IU 12          ",8,3.2,12.5,0.0,3.2,9.7,87.1,0.0,12.5,6.3,81.3
112000000,"Adams",12,"LINCOLN IU 12          ",11,0.0,0.0,0.0,0.0,16.7,83.3,0.0,0.0,5.6,94.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD   ",5,39.1,53.7,16.1,23.0,29.3,31.6,30.3,23.4,21.1,25.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD   ",8,50.0,63.1,18.1,31.9,31.3,18.8,27.5,35.6,19.4,17.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD   ",11,66.7,75.7,28.5,38.2,17.4,16.0,25.0,50.7,13.2,11.1
112011603,"Adams",12,"CONEWAGO VALLEY SD     ",5,42.3,49.7,16.2,26.1,30.1,27.6,18.8,30.9,23.2,27.2
112011603,"Adams",12,"CONEWAGO VALLEY SD     ",8,52.9,64.4,19.0,33.9,24.6,22.5,16.3,48.1,20.1,15.6
112011603,"Adams",12,"CONEWAGO VALLEY SD     ",11,48.5,61.8,18.4,30.1,25.7,25.7,14.0,47.8,20.8,17.4
112013054,"Adams",12,"FAIRFIELD AREA SD      ",5,57.0,51.0,16.0,41.0,22.0,21.0,14.0,37.0,29.0,20.0
112013054,"Adams",12,"FAIRFIELD AREA SD      ",8,48.5,70.7,11.1,37.4,35.4,16.2,29.3,41.4,23.2,6.1
112013054,"Adams",12,"FAIRFIELD AREA SD      ",11,41.6,55.2,13.0,28.6,26.0,32.5,9.0,46.2,19.2,25.6
112013753,"Adams",12,"GETTYSBURG AREA SD     ",5,51.3,58.8,23.3,28.0,23.3,25.3,28.4,30.4,19.1,22.2
112013753,"Adams",12,"GETTYSBURG AREA SD     ",8,51.4,67.3,16.0,35.4,21.6,26.9,24.5,42.8,15.6,17.1
112013753,"Adams",12,"GETTYSBURG AREA SD     ",11,50.5,59.2,20.3,30.2,23.6,25.9,19.3,39.9,20.6,20.3
112015203,"Adams",12,"LITTLESTOWN AREA SD    ",5,51.4,63.2,29.9,21.5,27.1,21.5,28.2,35.0,20.3,16.4
112015203,"Adams",12,"LITTLESTOWN AREA SD    ",8,46.4,65.1,15.3,31.1,31.1,22.5,27.8,37.3,17.2,17.7
112015203,"Adams",12,"LITTLESTOWN AREA SD    ",11,50.0,62.2,18.9,31.1,26.7,23.3,17.2,45.0,23.9,13.9
112018523,"Adams",12,"UPPER ADAMS SD         ",5,67.9,70.1,36.5,31.4,21.2,10.9,33.6,36.5,16.1,13.9
112018523,"Adams",12,"UPPER ADAMS SD         ",8,66.0,70.3,22.5,43.5,18.8,15.2,27.5,42.8,18.8,10.9
112018523,"Adams",12,"UPPER ADAMS SD         ",11,56.4,59.8,17.9,38.5,17.1,26.5,12.8,47.0,12.0,28.2
