"AUN","County","IU","District Name","Grade","Number of Students Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",11,160,5.0,61.3,17.5,16.3
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",11,265,4.2,55.5,21.5,18.9
112013054,"ADAMS",12,"FAIRFIELD AREA SD",11,99,1.0,51.5,25.3,22.2
112013753,"ADAMS",12,"GETTYSBURG AREA SD",11,253,5.5,65.2,13.0,16.2
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",11,171,3.5,60.8,17.5,18.1
112018523,"ADAMS",12,"UPPER ADAMS SD",11,133,3.8,64.7,18.8,12.8
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",11,102,11.8,71.6,10.8,5.9
103020753,"ALLEGHENY",3,"AVONWORTH SD",11,96,10.4,76.0,9.4,4.2
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",11,420,12.1,74.8,8.1,5.0
103021252,"ALLEGHENY",3,"BETHEL PARK SD",11,426,23.5,69.7,4.7,2.1
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",11,116,14.7,72.4,7.8,5.2
103021603,"ALLEGHENY",3,"CARLYNTON SD",11,134,7.5,67.2,13.4,11.9
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",11,242,10.7,78.1,7.4,3.7
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",11,56,1.8,48.2,23.2,26.8
103022103,"ALLEGHENY",3,"CORNELL SD",11,37,0.0,83.8,8.1,8.1
103022253,"ALLEGHENY",3,"DEER LAKES SD",11,174,13.2,62.6,13.2,10.9
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",11,39,0.0,61.5,17.9,20.5
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",11,139,0.0,46.0,23.0,30.9
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",11,228,3.5,70.6,15.4,10.5
