"AUN","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",3,86.0,70.0,161,50.0,36.0,7.0,6.0,160,30.0,40.0,21.0,9.0
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",5,64.9,57.4,148,31.1,33.8,25.0,10.1,148,16.2,41.2,21.6,20.9
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",8,63.2,67.2,177,39.5,23.7,20.3,16.4,177,30.5,36.7,17.5,15.3
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",11,49.7,70.7,157,22.9,26.8,22.9,27.4,157,42.7,28.0,10.2,19.1
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",3,89.0,71.0,244,59.0,30.0,7.0,5.0,244,40.0,31.0,14.0,15.0
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",5,72.0,66.6,282,36.9,35.1,23.0,5.0,282,20.9,45.7,17.4,16.0
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",8,61.9,60.0,276,32.2,29.7,21.7,16.3,275,29.1,30.9,18.9,21.1
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",11,42.5,68.8,256,19.5,23.0,24.6,32.8,247,29.1,39.7,13.0,18.2
112013054,"ADAMS",12,"FAIRFIELD AREA SD",3,89.0,73.0,106,59.0,30.0,8.0,2.0,106,31.0,42.0,12.0,15.0
112013054,"ADAMS",12,"FAIRFIELD AREA SD",5,59.6,59.6,94,28.7,30.9,27.7,12.8,94,17.0,42.6,23.4,17.0
112013054,"ADAMS",12,"FAIRFIELD AREA SD",8,56.2,64.5,121,22.3,33.9,15.7,28.1,121,29.8,34.7,14.0,21.5
112013054,"ADAMS",12,"FAIRFIELD AREA SD",11,36.8,67.3,98,9.2,27.6,26.5,36.7,98,15.3,52.0,20.4,12.2
112013753,"ADAMS",12,"GETTYSBURG AREA SD",3,88.0,69.0,217,58.0,30.0,9.0,3.0,217,34.0,35.0,14.0,17.0
112013753,"ADAMS",12,"GETTYSBURG AREA SD",5,61.0,59.8,241,33.2,27.8,27.0,12.0,241,23.7,36.1,16.6,23.7
112013753,"ADAMS",12,"GETTYSBURG AREA SD",8,51.0,61.9,278,27.3,23.7,22.7,26.3,278,26.6,35.3,14.7,23.4
112013753,"ADAMS",12,"GETTYSBURG AREA SD",11,49.4,66.6,253,25.7,23.7,20.9,29.6,252,32.9,33.7,15.9,17.5
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",3,82.0,65.0,152,41.0,41.0,13.0,5.0,152,37.0,28.0,15.0,20.0
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",5,73.6,70.7,174,32.2,41.4,21.3,5.2,174,27.0,43.7,19.5,9.8
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",8,68.7,74.1,214,36.0,32.7,15.4,15.9,212,35.4,38.7,11.8,14.2
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",11,47.9,68.5,165,15.8,32.1,22.4,29.7,165,29.7,38.8,11.5,20.0
112018523,"ADAMS",12,"UPPER ADAMS SD",3,91.0,75.0,108,68.0,23.0,6.0,3.0,108,32.0,43.0,14.0,11.0
112018523,"ADAMS",12,"UPPER ADAMS SD",5,71.5,67.6,137,46.7,24.8,20.4,8.0,136,25.0,42.6,20.6,11.8
112018523,"ADAMS",12,"UPPER ADAMS SD",8,60.0,51.9,160,36.9,23.1,21.3,18.8,160,20.0,31.9,23.8,24.4
112018523,"ADAMS",12,"UPPER ADAMS SD",11,50.3,60.6,127,22.0,28.3,25.2,24.4,127,29.1,31.5,11.8,27.6
