"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",3,179,74.0,44.0,30.0,18.0,9.0,179,65.0,25.0,40.0,17.0,18.0
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",4,156,85.2,53.8,31.4,9.0,5.8,156,74.3,31.4,42.9,19.2,6.4
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",5,159,64.7,35.8,28.9,22.0,13.2,159,49.1,12.6,36.5,25.2,25.8
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",6,153,69.9,35.9,34.0,15.7,14.4,153,67.4,28.8,38.6,19.6,13.1
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",7,152,78.3,45.4,32.9,9.2,12.5,152,73.7,36.2,37.5,16.4,9.9
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",8,178,62.9,42.1,20.8,20.8,16.3,178,73.6,46.1,27.5,12.4,14.0
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",11,151,66.2,29.1,37.1,13.9,19.9,151,68.9,38.4,30.5,15.9,15.2
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",3,274,84.0,58.0,26.0,10.0,5.0,273,54.0,20.0,34.0,16.0,30.0
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",4,243,81.1,51.9,29.2,8.6,10.3,243,67.9,32.1,35.8,18.1,14.0
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",5,300,67.3,37.3,30.0,23.3,9.3,300,61.0,17.0,44.0,19.0,20.0
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",6,301,79.4,44.5,34.9,15.3,5.3,301,76.1,37.9,38.2,15.9,8.0
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",7,278,73.0,40.6,32.4,13.7,13.3,278,64.0,29.1,34.9,21.6,14.4
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",8,298,63.4,32.9,30.5,20.8,15.8,297,71.7,41.4,30.3,14.1,14.1
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",11,281,52.3,25.3,27.0,21.0,26.7,282,64.5,28.0,36.5,18.1,17.4
112013054,"ADAMS",12,"FAIRFIELD AREA SD",3,85,90.0,59.0,31.0,7.0,4.0,85,80.0,39.0,41.0,12.0,8.0
112013054,"ADAMS",12,"FAIRFIELD AREA SD",4,104,79.8,42.3,37.5,9.6,10.6,104,69.2,29.8,39.4,19.2,11.5
112013054,"ADAMS",12,"FAIRFIELD AREA SD",5,97,57.7,20.6,37.1,23.7,18.6,97,57.8,12.4,45.4,24.7,17.5
112013054,"ADAMS",12,"FAIRFIELD AREA SD",6,92,65.2,32.6,32.6,21.7,13.0,92,68.5,19.6,48.9,25.0,6.5
112013054,"ADAMS",12,"FAIRFIELD AREA SD",7,96,63.6,34.4,29.2,25.0,11.5,96,67.7,26.0,41.7,20.8,11.5
112013054,"ADAMS",12,"FAIRFIELD AREA SD",8,108,60.2,29.6,30.6,25.0,14.8,108,68.6,34.3,34.3,16.7,14.8
112013054,"ADAMS",12,"FAIRFIELD AREA SD",11,81,46.9,18.5,28.4,21.0,32.1,81,60.5,27.2,33.3,24.7,14.8
112013753,"ADAMS",12,"GETTYSBURG AREA SD",3,197,82.0,52.0,30.0,13.0,5.0,196,69.0,32.0,37.0,15.0,16.0
112013753,"ADAMS",12,"GETTYSBURG AREA SD",4,218,84.4,49.1,35.3,9.6,6.0,218,72.5,33.5,39.0,11.9,15.6
112013753,"ADAMS",12,"GETTYSBURG AREA SD",5,216,67.1,38.9,28.2,22.7,10.2,216,54.2,16.7,37.5,21.8,24.1
112013753,"ADAMS",12,"GETTYSBURG AREA SD",6,235,65.1,38.7,26.4,15.7,19.1,235,70.2,40.4,29.8,14.0,15.7
112013753,"ADAMS",12,"GETTYSBURG AREA SD",7,264,73.1,38.3,34.8,14.0,12.9,264,67.8,35.6,32.2,22.0,10.2
112013753,"ADAMS",12,"GETTYSBURG AREA SD",8,264,62.5,37.9,24.6,19.3,18.2,264,77.3,52.3,25.0,9.1,13.6
112013753,"ADAMS",12,"GETTYSBURG AREA SD",11,277,46.2,21.7,24.5,18.1,35.7,277,58.8,22.7,36.1,19.5,21.7
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",3,172,79.0,45.0,34.0,13.0,7.0,172,68.0,25.0,43.0,17.0,15.0
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",4,147,71.4,27.2,44.2,12.9,15.6,147,66.6,36.7,29.9,21.8,11.6
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",5,177,60.4,33.3,27.1,24.3,15.3,177,59.9,19.8,40.1,21.5,18.6
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",6,171,81.9,47.4,34.5,13.5,4.7,171,74.8,45.0,29.8,21.6,3.5
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",7,189,69.3,36.0,33.3,21.2,9.5,189,63.5,29.6,33.9,22.8,13.8
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",8,188,67.6,39.9,27.7,17.6,14.9,188,77.7,53.2,24.5,10.6,11.7
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",11,184,50.0,18.5,31.5,21.7,28.3,184,70.6,38.0,32.6,12.0,17.4
112018523,"ADAMS",12,"UPPER ADAMS SD",3,130,78.0,50.0,28.0,13.0,9.0,130,66.0,34.0,32.0,18.0,16.0
112018523,"ADAMS",12,"UPPER ADAMS SD",4,112,90.2,55.4,34.8,3.6,6.3,112,80.4,43.8,36.6,11.6,8.0
112018523,"ADAMS",12,"UPPER ADAMS SD",5,118,78.0,46.6,31.4,16.1,5.9,118,72.9,16.1,56.8,13.6,13.6
112018523,"ADAMS",12,"UPPER ADAMS SD",6,146,78.1,41.1,37.0,17.8,4.1,146,71.9,37.7,34.2,16.4,11.6
112018523,"ADAMS",12,"UPPER ADAMS SD",7,148,61.5,29.1,32.4,15.5,23.0,148,64.9,25.7,39.2,14.2,20.9
112018523,"ADAMS",12,"UPPER ADAMS SD",8,149,68.4,41.6,26.8,16.8,14.8,149,67.8,39.6,28.2,14.8,17.4
112018523,"ADAMS",12,"UPPER ADAMS SD",11,139,62.6,32.4,30.2,17.3,20.1,139,66.2,35.3,30.9,19.4,14.4
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",3,66,93.0,64.0,29.0,5.0,3.0,66,81.0,42.0,39.0,8.0,11.0
