"The 2006 District PSSA Writing Scores: % Students at Each Performance Level (Full Academic Year)",,,,,,,,,
"Performance level totals may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number of students","%Advanced Writing","%Proficient Writing","%Basic Writing","%Below Basic Writing"
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",5,158,0.0,60.8,39.2,0.0
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",8,179,2.8,43.6,52.5,1.1
112011103,"ADAMS",12,"BERMUDIAN SPRINGS SD",11,152,11.2,69.1,19.1,0.7
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",5,301,0.3,55.1,43.2,1.3
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",8,296,2.7,72.3,23.3,1.7
112011603,"ADAMS",12,"CONEWAGO VALLEY SD",11,281,7.8,68.7,21.4,2.1
112013054,"ADAMS",12,"FAIRFIELD AREA SD",5,98,1.0,45.9,53.1,0.0
112013054,"ADAMS",12,"FAIRFIELD AREA SD",8,95,2.1,53.7,42.1,2.1
112013054,"ADAMS",12,"FAIRFIELD AREA SD",11,81,2.5,77.8,18.5,1.2
112013753,"ADAMS",12,"GETTYSBURG AREA SD",5,215,0.9,53.0,43.3,2.8
112013753,"ADAMS",12,"GETTYSBURG AREA SD",8,267,8.6,64.8,25.1,1.5
112013753,"ADAMS",12,"GETTYSBURG AREA SD",11,269,6.3,74.3,17.5,1.9
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",5,175,0.6,38.3,61.1,0.0
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",8,194,2.1,69.6,24.7,3.6
112015203,"ADAMS",12,"LITTLESTOWN AREA SD",11,186,18.8,69.9,9.7,1.6
112018523,"ADAMS",12,"UPPER ADAMS SD",5,117,1.7,62.4,35.0,0.9
112018523,"ADAMS",12,"UPPER ADAMS SD",8,151,0.7,68.2,29.1,2.0
112018523,"ADAMS",12,"UPPER ADAMS SD",11,137,7.3,81.0,11.7,0.0
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",5,93,5.4,48.4,46.2,0.0
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",8,110,8.2,69.1,21.8,0.9
103020603,"ALLEGHENY",3,"ALLEGHENY VALLEY SD",11,83,31.3,61.4,6.0,1.2
103020753,"ALLEGHENY",3,"AVONWORTH SD",5,88,1.1,53.4,45.5,0.0
103020753,"ALLEGHENY",3,"AVONWORTH SD",8,90,1.1,52.2,44.4,2.2
103020753,"ALLEGHENY",3,"AVONWORTH SD",11,93,12.9,75.3,10.8,1.1
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",5,285,1.4,46.3,50.5,1.8
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",8,324,13.0,68.8,17.6,0.6
103021102,"ALLEGHENY",3,"BALDWIN-WHITEHALL SD",11,372,44.4,45.2,8.6,1.9
103021252,"ALLEGHENY",3,"BETHEL PARK SD",5,373,2.9,72.4,24.7,0.0
103021252,"ALLEGHENY",3,"BETHEL PARK SD",8,408,16.7,77.2,5.6,0.5
103021252,"ALLEGHENY",3,"BETHEL PARK SD",11,476,40.5,57.1,2.1,0.2
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",5,93,0.0,61.3,37.6,1.1
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",8,109,9.2,67.9,22.9,0.0
103021453,"ALLEGHENY",3,"BRENTWOOD BOROUGH SD",11,121,39.7,54.5,5.8,0.0
103021603,"ALLEGHENY",3,"CARLYNTON SD",5,76,2.6,57.9,38.2,1.3
103021603,"ALLEGHENY",3,"CARLYNTON SD",8,122,5.7,66.4,27.9,0.0
103021603,"ALLEGHENY",3,"CARLYNTON SD",11,128,18.8,67.2,12.5,1.6
