"The 2007 PSSA Writing District Level Proficiency Results by Grade and District Total (Full Academic Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District total may include data from those grades that are represented by an asterisk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUN","County","IU Number","District Name","Grade","Number scored Writing","Writing Advanced","Writing Proficient","Writing Basic","Writing Below Basic","Number scored Writing                IEP","Writing Advanced IEP","Writing Proficient IEP","Writing Basic              IEP","Writing Below Basic             IEP","Number scored Writing                ELL","Writing Advanced ELL","Writing Proficient ELL","Writing Basic             ELL","Writing Below Basic              ELL","Number scored Writing Title I","Writing Advanced Title I","Writing Proficient Title I","Writing Basic             Title I","Writing Below Basic            Title I","Number scored Writing Migrant","Writing Advanced Migrant","Writing Proficient Migrant","Writing Basic Migrant","Writing Below Basic Migrant","Number scored Writing Econ. Disadv.","Writing Advanced Econ. Disadv.","Writing Proficient Econ. Disadv.","Writing Basic Econ. Disadv.","Writing Below Basic Econ. Disadv.","Number scored Writing Male","Writing Advanced Male","Writing Proficient Male","Writing Basic              Male","Writing Below Basic             Male","Number scored Writing Female","Writing Advanced Female","Writing Proficient Female","Writing Basic Female","Writing Below Basic Female","Number scored Writing Title III","Writing Advanced Title III","Writing Proficient Title III","Writing Basic                 Title III","Writing Below Basic             Title III","Number scored Writing  White","Writing Advanced  White","Writing Proficient  White","Writing Basic  White","Writing Below Basic  White","Number scored Writing  Black","Writing Advanced  Black","Writing Proficient  Black","Writing Basic  Black","Writing Below Basic  Black","Number scored Writing  Hispanic","Writing Advanced  Hispanic","Writing Proficient  Hispanic","Writing Basic  Hispanic","Writing Below Basic  Hispanic","Number scored Writing  Asian","Writing Advanced  Asian","Writing Proficient  Asian","Writing Basic  Asian","Writing Below Basic  Asian","Number scored Writing  Native American","Writing Advanced  Native American","Writing Proficient  Native American","Writing Basic  Native American","Writing Below Basic  Native American","Number scored Writing  Multi-ethnic","Writing Advanced  Multi-ethnic","Writing Proficient  Multi-ethnic","Writing Basic  Multi-ethnic","Writing Below Basic  Multi-ethnic"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD",5,158,0.6,62.7,36.1,0.6,3,"*","*","*","*",3,"*","*","*","*",35,0.0,22.9,77.1,0.0,1,"*","*","*","*",28,0.0,39.3,57.1,3.6,81,1.2,59.3,38.3,1.2,77,0.0,66.2,33.8,0.0,0,"*","*","*","*",143,0.7,65.7,32.9,0.7,0,"*","*","*","*",12,0.0,25.0,75.0,0.0,3,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD",8,151,3.3,63.6,33.1,0.0,10,0.0,30.0,70.0,0.0,0,"*","*","*","*",1,"*","*","*","*",4,"*","*","*","*",32,3.1,65.6,31.3,0.0,78,3.8,52.6,43.6,0.0,73,2.7,75.3,21.9,0.0,0,"*","*","*","*",134,3.7,62.7,33.6,0.0,1,"*","*","*","*",12,0.0,66.7,33.3,0.0,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD",11,178,3.4,82.0,14.0,0.6,16,0.0,68.8,25.0,6.3,5,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",19,0.0,89.5,10.5,0.0,90,3.3,72.2,23.3,1.1,87,3.4,93.1,3.4,0.0,0,"*","*","*","*",164,3.7,83.5,12.8,0.0,1,"*","*","*","*",10,0.0,70.0,30.0,0.0,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD","District Total",487,2.5,70.0,27.1,0.4,29,0.0,51.7,41.4,6.9,8,"*","*","*","*",36,0.0,25.0,75.0,0.0,6,"*","*","*","*",79,1.3,62.0,35.4,1.3,249,2.8,61.8,34.5,0.8,237,2.1,78.9,19.0,0.0,0,"*","*","*","*",441,2.7,71.4,25.6,0.2,2,"*","*","*","*",34,0.0,52.9,47.1,0.0,9,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD",5,245,0.0,63.7,36.3,0.0,17,0.0,29.4,70.6,0.0,4,"*","*","*","*",0,"*","*","*","*",5,"*","*","*","*",66,0.0,47.0,53.0,0.0,110,0.0,56.4,43.6,0.0,135,0.0,69.6,30.4,0.0,4,"*","*","*","*",224,0.0,66.5,33.5,0.0,3,"*","*","*","*",17,0.0,35.3,64.7,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD",8,281,5.0,68.0,26.3,0.7,31,3.2,35.5,54.8,6.5,4,"*","*","*","*",0,"*","*","*","*",4,"*","*","*","*",68,1.5,55.9,41.2,1.5,144,4.2,66.7,28.5,0.7,137,5.8,69.3,24.1,0.7,0,"*","*","*","*",247,5.7,69.2,24.3,0.8,9,"*","*","*","*",25,0.0,60.0,40.0,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD",11,303,1.7,73.6,22.8,2.0,24,0.0,4.2,75.0,20.8,1,"*","*","*","*",0,"*","*","*","*",3,"*","*","*","*",61,1.6,62.3,32.8,3.3,144,0.7,64.6,30.6,4.2,159,2.5,81.8,15.7,0.0,0,"*","*","*","*",272,1.5,73.5,23.2,1.8,2,"*","*","*","*",25,4.0,72.0,20.0,4.0,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD","District Total",829,2.3,68.8,28.0,1.0,72,1.4,23.6,65.3,9.7,9,"*","*","*","*",0,"*","*","*","*",12,0.0,58.3,41.7,0.0,195,1.0,54.9,42.6,1.5,398,1.8,63.1,33.4,1.8,431,2.8,74.0,23.0,0.2,4,"*","*","*","*",743,2.4,70.0,26.6,0.9,14,0.0,57.1,42.9,0.0,67,1.5,58.2,38.8,1.5,5,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD",5,103,0.0,45.6,54.4,0.0,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",12,0.0,25.0,75.0,0.0,54,0.0,27.8,72.2,0.0,49,0.0,65.3,34.7,0.0,0,"*","*","*","*",101,0.0,44.6,55.4,0.0,0,"*","*","*","*",1,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD",8,96,6.3,66.7,27.1,0.0,13,0.0,46.2,53.8,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",13,7.7,69.2,23.1,0.0,46,4.3,58.7,37.0,0.0,50,8.0,74.0,18.0,0.0,0,"*","*","*","*",95,5.3,67.4,27.4,0.0,0,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
