"The 2008 PSSA Science District Level Proficiency Results by Grade and District Total (Full Academic Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District total may include data from those grades that are represented by an asterisk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Number scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science","Number of IEP scored  Science","% IEP Advanced Science","% IEP Proficient Science","% IEP Basic Science","% IEP Below Basic Science","Number of ELL scored  Science","% ELL Advanced Science","% ELL Proficient Science","% ELL Basic Science","% ELL Below Basic Science","Number of Title I scored  Science","% Title I Advanced Science","% Title I Proficient Science","% Title I Basic Science","% Title I Below Basic Science","Number of Migrant scored  Science","% Migrant Advanced Science","% Migrant Proficient Science","% Migrant Basic Science","% Migrant Below Basic Science","Number of Economically Disadvantaged scored  Science","% Economically Disadvantaged Advanced Science","% Economically Disadvantaged Proficient Science","% Economically Disadvantaged Basic Science","% Economically Disadvantaged Below Basic Science","Number of Male scored  Science","% Male Advanced Science","% Male Proficient Science","% Male Basic Science","% Male Below Basic Science","Number of Female scored  Science","% Female Advanced Science","% Female Proficient Science","% Female Basic Science","% Female Below Basic Science","Number of Title III scored  Science","% Title III Advanced Science","% Title III Proficient Science","% Title III Basic Science","% Title III Below Basic Science","Number of White scored  Science","% White Advanced Science","% White Proficient Science","% White Basic Science","% White Below Basic Science","Number of Black scored  Science","% Black Advanced Science","% Black Proficient Science","% Black Basic Science","% Black Below Basic Science","Number of Hispanic scored  Science","% Hispanic Advanced Science","% Hispanic Proficient Science","% Hispanic Basic Science","% Hispanic Below Basic Science","Number of Asian scored  Science","% Asian Advanced Science","% Asian Proficient Science","% Asian Basic Science","% Asian Below Basic Science","Number of Native American scored  Science","% Native American Advanced Science","% Native American Proficient Science","% Native American Basic Science","% Native American Below Basic Science","Number of Multi-ethnic scored Science","% Multi-ethnic Advanced Science","% Multi-ethnic Proficient Science","% Multi-ethnic Basic Science","% Multi-ethnic Below Basic Science"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,167,37.1,51.5,9.6,1.8,8,"*","*","*","*",6,"*","*","*","*",41,7.3,65.9,26.8,0.0,0,"*","*","*","*",51,23.5,58.8,11.8,5.9,91,38.5,50.5,9.9,1.1,76,35.5,52.6,9.2,2.6,6,"*","*","*","*",144,39.6,52.8,7.6,0.0,2,"*","*","*","*",19,21.1,42.1,21.1,15.8,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,157,17.2,31.8,33.1,17.8,16,0.0,25.0,25.0,50.0,4,"*","*","*","*",11,0.0,9.1,45.5,45.5,0,"*","*","*","*",25,8.0,24.0,40.0,28.0,86,22.1,32.6,29.1,16.3,71,11.3,31.0,38.0,19.7,0,"*","*","*","*",144,18.1,31.9,32.6,17.4,1,"*","*","*","*",10,0.0,40.0,30.0,30.0,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,173,12.1,23.7,52.6,11.6,17,0.0,23.5,58.8,17.6,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",93,15.1,23.7,50.5,10.8,80,8.8,23.8,55.0,12.5,0,"*","*","*","*",155,13.5,25.2,52.9,8.4,3,"*","*","*","*",11,0.0,9.1,36.4,54.5,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD","District Total",497,22.1,35.6,32.0,10.3,41,2.4,31.7,39.0,26.8,10,0.0,10.0,50.0,40.0,52,5.8,53.8,30.8,9.6,0,"*","*","*","*",76,18.4,47.4,21.1,13.2,270,25.2,35.6,30.0,9.3,227,18.5,35.7,34.4,11.5,6,"*","*","*","*",443,23.5,36.3,31.6,8.6,6,"*","*","*","*",40,10.0,32.5,27.5,30.0,8,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,271,39.9,46.1,10.7,3.3,32,21.9,43.8,28.1,6.3,6,"*","*","*","*",0,"*","*","*","*",2,"*","*","*","*",89,32.6,44.9,20.2,2.2,142,45.1,42.3,9.2,3.5,129,34.1,50.4,12.4,3.1,0,"*","*","*","*",227,43.2,46.3,7.9,2.6,10,30.0,40.0,30.0,0.0,33,21.2,45.5,24.2,9.1,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,305,18.7,42.3,22.3,16.7,44,0.0,15.9,31.8,52.3,5,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",65,7.7,35.4,26.2,30.8,157,17.8,47.1,18.5,16.6,148,19.6,37.2,26.4,16.9,0,"*","*","*","*",271,19.9,44.3,22.5,13.3,6,"*","*","*","*",27,11.1,22.2,25.9,40.7,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,281,8.2,29.5,47.0,15.3,31,0.0,3.2,41.9,54.8,6,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",53,1.9,28.3,52.8,17.0,114,10.5,29.8,43.0,16.7,167,6.6,29.3,49.7,14.4,0,"*","*","*","*",253,8.7,30.8,46.6,13.8,7,"*","*","*","*",20,5.0,25.0,35.0,35.0,0,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*"
112011603,"Adams",12,"CONEWAGO VALLEY SD","District Total",857,21.9,39.3,26.7,12.0,107,6.5,20.6,33.6,39.3,17,0.0,11.8,29.4,58.8,0,"*","*","*","*",4,"*","*","*","*",207,16.9,37.7,30.4,15.0,413,25.2,40.7,22.0,12.1,444,18.9,38.1,31.1,11.9,0,"*","*","*","*",751,23.2,40.3,26.2,10.3,23,13.0,30.4,39.1,17.4,80,13.8,32.5,27.5,26.3,2,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*"
112013054,"Adams",12,"FAIRFIELD AREA SD",4,95,32.6,50.5,15.8,1.1,5,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",13,7.7,46.2,38.5,7.7,49,34.7,44.9,18.4,2.0,46,30.4,56.5,13.0,0.0,0,"*","*","*","*",95,32.6,50.5,15.8,1.1,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams",12,"FAIRFIELD AREA SD",8,102,21.6,44.1,27.5,6.9,14,21.4,28.6,28.6,21.4,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",13,7.7,46.2,30.8,15.4,47,29.8,40.4,23.4,6.4,55,14.5,47.3,30.9,7.3,0,"*","*","*","*",96,21.9,43.8,28.1,6.3,2,"*","*","*","*",3,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
