"The 2008 PSSA Writing District Level Proficiency Results by Grade and District Total (Full Academic Year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District total may include data from those grades that are represented by an asterisk.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUN","County","IU Number","District Name","Grade","Number Scored Writing","% Advanced","% Proficient","% Basic","% Below Basic","Number Scored Writing                IEP","% Advanced IEP","% Proficient IEP","% Basic              IEP","% Below Basic             IEP","Number Scored Writing                ELL","% Advanced ELL","% Proficient ELL","% Basic             ELL","% Below Basic              ELL","Number Scored Writing Title I","% Advanced Title I","% Proficient Title I","% Basic             Title I","% Below Basic            Title I","Number Scored Writing Migrant","% Advanced Migrant","% Proficient Migrant","% Basic Migrant","% Below Basic Migrant","Number Scored Writing Econ. Disadv.","% Advanced Econ. Disadv.","% Proficient Econ. Disadv.","% Basic Econ. Disadv.","% Below Basic Econ. Disadv.","Number Scored Writing Male","% Advanced Male","% Proficient Male","% Basic              Male","% Below Basic             Male","Number Scored Writing Female","% Advanced Female","% Proficient Female","% Basic Female","% Below Basic Female","Number Scored Writing Title III","% Advanced Title III","% Proficient Title III","% Basic                 Title III","% Below Basic             Title III","Number Scored Writing  White","% Advanced  White","% Proficient  White","% Basic  White","% Below Basic  White","Number Scored Writing  Black","% Advanced  Black","% Proficient  Black","% Basic  Black","% Below Basic  Black","Number Scored Writing  Hispanic","% Advanced  Hispanic","% Proficient  Hispanic","% Basic  Hispanic","% Below Basic  Hispanic","Number Scored Writing  Asian","% Advanced  Asian","% Proficient  Asian","% Basic Asian","% Below Basic  Asian","Number Scored Writing  Native American","% Advanced  Native American","% Proficient  Native American","% Basic  Native American","% Below Basic  Native American","Number Scored Writing  Multi-ethnic","% Advanced  Multi-ethnic","% Proficient  Multi-ethnic","% Basic  Multi-ethnic","% Below Basic      Multi-ethnic"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD",5,168,0.0,42.3,56.0,1.8,16,0.0,0.0,93.8,6.3,6,"*","*","*","*",20,0.0,0.0,95.0,5.0,5,"*","*","*","*",42,0.0,26.2,71.4,2.4,87,0.0,39.1,57.5,3.4,81,0.0,45.7,54.3,0.0,4,"*","*","*","*",151,0.0,43.0,55.0,2.0,1,"*","*","*","*",16,0.0,37.5,62.5,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD",8,155,1.3,67.7,29.7,1.3,12,0.0,50.0,41.7,8.3,9,"*","*","*","*",11,0.0,54.5,45.5,0.0,4,"*","*","*","*",26,0.0,42.3,50.0,7.7,86,0.0,65.1,32.6,2.3,68,2.9,72.1,25.0,0.0,4,"*","*","*","*",142,1.4,67.6,31.0,0.0,1,"*","*","*","*",9,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD",11,176,8.5,85.2,6.3,0.0,17,0.0,94.1,5.9,0.0,1,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",94,7.4,84.0,8.5,0.0,82,9.8,86.6,3.7,0.0,0,"*","*","*","*",157,9.6,84.7,5.7,0.0,3,"*","*","*","*",11,0.0,81.8,18.2,0.0,4,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*"
112011103,"Adams                           ",12,"BERMUDIAN SPRINGS SD","Distict total",499,3.4,65.3,30.3,1.0,45,0.0,48.9,46.7,4.4,16,0.0,43.8,43.8,12.5,31,0.0,19.4,77.4,3.2,10,0.0,60.0,40.0,0.0,68,0.0,32.4,63.2,4.4,267,2.6,63.3,32.2,1.9,231,4.3,68.0,27.7,0.0,8,"*","*","*","*",450,3.8,65.3,30.2,0.7,5,"*","*","*","*",36,0.0,58.3,36.1,5.6,5,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD",5,291,2.1,54.0,43.6,0.3,43,0.0,27.9,69.8,2.3,8,"*","*","*","*",0,"*","*","*","*",2,"*","*","*","*",86,1.2,45.3,52.3,1.2,142,0.7,40.8,57.7,0.7,149,3.4,66.4,30.2,0.0,0,"*","*","*","*",260,2.3,53.5,43.8,0.4,4,"*","*","*","*",26,0.0,53.8,46.2,0.0,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD",8,306,1.3,67.3,28.1,3.3,43,0.0,30.2,58.1,11.6,5,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",64,1.6,50.0,43.8,4.7,157,0.6,63.7,30.6,5.1,149,2.0,71.1,25.5,1.3,0,"*","*","*","*",274,0.7,70.1,26.3,2.9,5,"*","*","*","*",26,7.7,42.3,42.3,7.7,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD",11,285,5.3,76.5,17.9,0.4,34,0.0,41.2,55.9,2.9,4,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",57,5.3,71.9,22.8,0.0,114,3.5,68.4,27.2,0.9,171,6.4,81.9,11.7,0.0,0,"*","*","*","*",258,5.0,77.9,16.7,0.4,8,"*","*","*","*",19,10.5,57.9,31.6,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112011603,"Adams                           ",12,"CONEWAGO VALLEY SD","Distict total",882,2.8,65.9,29.9,1.4,120,0.0,32.5,61.7,5.8,17,0.0,17.6,70.6,11.8,0,"*","*","*","*",4,"*","*","*","*",207,2.4,54.1,41.5,1.9,413,1.5,57.1,39.0,2.4,469,4.1,73.6,22.0,0.4,0,"*","*","*","*",792,2.7,67.2,28.9,1.3,17,0.0,70.6,29.4,0.0,71,5.6,50.7,40.8,2.8,2,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD",5,101,5.0,54.5,39.6,1.0,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",26,0.0,42.3,57.7,0.0,51,3.9,37.3,56.9,2.0,50,6.0,72.0,22.0,0.0,0,"*","*","*","*",97,5.2,53.6,40.2,1.0,3,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD",8,102,0.0,88.2,11.8,0.0,13,0.0,69.2,30.8,0.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",14,0.0,78.6,21.4,0.0,46,0.0,78.3,21.7,0.0,56,0.0,96.4,3.6,0.0,0,"*","*","*","*",96,0.0,88.5,11.5,0.0,2,"*","*","*","*",3,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD",11,99,1.0,77.8,20.2,1.0,10,0.0,80.0,10.0,10.0,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",14,0.0,64.3,35.7,0.0,47,0.0,70.2,27.7,2.1,52,1.9,84.6,13.5,0.0,0,"*","*","*","*",96,1.0,79.2,18.8,1.0,1,"*","*","*","*",1,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013054,"Adams                           ",12,"FAIRFIELD AREA SD","Distict total",302,2.0,73.5,23.8,0.7,27,0.0,63.0,33.3,3.7,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",54,0.0,57.4,42.6,0.0,144,1.4,61.1,36.1,1.4,158,2.5,84.8,12.7,0.0,0,"*","*","*","*",289,2.1,73.7,23.5,0.7,6,"*","*","*","*",4,"*","*","*","*",2,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD",5,220,3.2,54.1,42.3,0.5,28,0.0,14.3,82.1,3.6,7,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",76,1.3,36.8,60.5,1.3,111,0.9,45.9,52.3,0.9,109,5.5,62.4,32.1,0.0,0,"*","*","*","*",185,2.7,56.8,40.0,0.5,16,0.0,31.3,68.8,0.0,15,0.0,53.3,46.7,0.0,4,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD",8,228,0.9,70.2,25.9,3.1,28,0.0,25.0,60.7,14.3,4,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",74,0.0,55.4,37.8,6.8,115,0.0,60.0,33.9,6.1,113,1.8,80.5,17.7,0.0,0,"*","*","*","*",190,1.1,71.6,24.2,3.2,13,0.0,53.8,38.5,7.7,22,0.0,63.6,36.4,0.0,3,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD",11,262,9.2,74.4,14.5,1.9,35,2.9,60.0,37.1,0.0,4,"*","*","*","*",0,"*","*","*","*",1,"*","*","*","*",64,6.3,68.8,20.3,4.7,126,5.6,72.2,19.8,2.4,136,12.5,76.5,9.6,1.5,1,"*","*","*","*",219,8.7,76.7,12.8,1.8,19,21.1,47.4,31.6,0.0,17,0.0,76.5,17.6,5.9,5,"*","*","*","*",1,"*","*","*","*",1,"*","*","*","*"
112013753,"Adams                           ",12,"GETTYSBURG AREA SD","Distict total",710,4.6,66.8,26.8,1.8,91,1.1,35.2,58.2,5.5,15,0.0,20.0,73.3,6.7,0,"*","*","*","*",2,"*","*","*","*",214,2.3,52.8,40.7,4.2,352,2.3,59.9,34.7,3.1,358,7.0,73.5,19.0,0.6,1,"*","*","*","*",594,4.4,68.9,24.9,1.9,48,8.3,43.8,45.8,2.1,54,0.0,64.8,33.3,1.9,12,25.0,66.7,8.3,0.0,1,"*","*","*","*",1,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD",5,174,1.1,36.2,59.8,2.9,21,0.0,0.0,81.0,19.0,2,"*","*","*","*",34,0.0,5.9,94.1,0.0,0,"*","*","*","*",48,2.1,25.0,68.8,4.2,96,0.0,20.8,75.0,4.2,78,2.6,55.1,41.0,1.3,0,"*","*","*","*",158,1.3,37.3,58.2,3.2,9,"*","*","*","*",5,"*","*","*","*",1,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD",8,167,0.0,79.0,19.2,1.8,11,0.0,18.2,63.6,18.2,0,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",35,0.0,65.7,31.4,2.9,85,0.0,72.9,23.5,3.5,82,0.0,85.4,14.6,0.0,0,"*","*","*","*",154,0.0,78.6,20.1,1.3,5,"*","*","*","*",2,"*","*","*","*",6,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD",11,196,6.1,80.6,12.2,1.0,29,0.0,48.3,44.8,6.9,1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*",34,2.9,73.5,17.6,5.9,106,5.7,80.2,12.3,1.9,90,6.7,81.1,12.2,0.0,0,"*","*","*","*",191,6.3,80.1,12.6,1.0,3,"*","*","*","*",1,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*",0,"*","*","*","*"
112015203,"Adams                           ",12,"LITTLESTOWN AREA SD","Distict total",537,2.6,65.7,29.8,1.9,61,0.0,26.2,60.7,13.1,3,"*","*","*","*",34,0.0,5.9,94.1,0.0,0,"*","*","*","*",117,1.7,51.3,42.7,4.3,287,2.1,58.2,36.6,3.1,250,3.2,74.4,22.0,0.4,0,"*","*","*","*",503,2.8,66.2,29.2,1.8,17,0.0,64.7,35.3,0.0,8,"*","*","*","*",8,"*","*","*","*",1,"*","*","*","*",0,"*","*","*","*"
