"The 2009 PSSA Mathematics and Reading District Level Proficiency Results",,,,,,,,,,,,,,,
"(Full Academic Year; No PASA Scores) Groups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Group","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"All Students",137,44.5,37.2,14.6,3.6,137,24.1,59.9,4.4,11.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Economically Disadvantaged",43,30.2,37.2,23.3,9.3,43,11.6,60.5,4.7,23.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Male",63,47.6,34.9,15.9,1.6,63,20.6,60.3,4.8,14.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Female",74,41.9,39.2,13.5,5.4,74,27.0,59.5,4.1,9.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"White",122,48.4,35.2,13.1,3.3,122,26.2,60.7,4.9,8.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Hispanic",13,7.7,61.5,23.1,7.7,13,7.7,53.8,0.0,38.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"All Students",141,50.4,30.5,10.6,8.5,141,34.8,38.3,14.2,12.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"IEP",11,0.0,54.5,18.2,27.3,11,0.0,9.1,18.2,72.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Economically Disadvantaged",39,25.6,38.5,17.9,17.9,39,12.8,35.9,17.9,33.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Male",80,50.0,28.8,15.0,6.3,80,32.5,35.0,20.0,12.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Female",61,50.8,32.8,4.9,11.5,61,37.7,42.6,6.6,13.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"White",128,51.6,30.5,9.4,8.6,128,36.7,36.7,15.6,10.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Hispanic",10,30.0,30.0,30.0,10.0,10,20.0,40.0,0.0,40.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"All Students",169,46.7,24.3,16.6,12.4,169,14.8,46.2,21.3,17.8
