"The 2010 PSSA Mathematics and Reading District Level Proficiency Results*",,,,,,,,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with less than 10 students assessed were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"All Students",167,38.3,43.7,13.8,4.2,167,29.3,41.9,15.0,13.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Male",83,41.0,42.2,12.0,4.8,83,27.7,38.6,15.7,18.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Female",84,35.7,45.2,15.5,3.6,84,31.0,45.2,14.3,9.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"White",149,41.6,42.3,11.4,4.7,149,32.2,43.0,12.1,12.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Black",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Hispanic",15,13.3,60.0,26.7,0.0,15,6.7,33.3,33.3,26.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Asian",2,,,,,2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Multi-ethnic",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"IEP",9,,,,,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"ELL",9,,,,,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Economically Disadvantaged",52,19.2,53.8,19.2,7.7,52,17.3,36.5,23.1,23.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"All Students",151,57.0,29.8,8.6,4.6,151,34.4,42.4,13.9,9.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Male",68,55.9,30.9,10.3,2.9,68,29.4,41.2,16.2,13.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Female",83,57.8,28.9,7.2,6.0,83,38.6,43.4,12.0,6.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"White",130,61.5,27.7,5.4,5.4,130,38.5,41.5,10.8,9.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Black",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Hispanic",20,25.0,45.0,30.0,0.0,20,10.0,45.0,35.0,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Multi-ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"IEP",19,52.6,21.1,15.8,10.5,19,52.6,21.1,10.5,15.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"ELL",7,,,,,7,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Economically Disadvantaged",55,38.2,34.5,20.0,7.3,55,20.0,47.3,21.8,10.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"All Students",142,46.5,26.1,18.3,9.2,144,16.7,43.8,20.1,19.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Male",79,45.6,25.3,20.3,8.9,81,14.8,38.3,21.0,25.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Female",63,47.6,27.0,15.9,9.5,63,19.0,50.8,19.0,11.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"White",128,45.3,28.1,18.8,7.8,129,18.6,43.4,21.7,16.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Black",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Hispanic",11,45.5,9.1,18.2,27.3,12,0.0,33.3,8.3,58.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Multi-ethnic",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"IEP",16,43.8,31.3,6.3,18.8,18,27.8,11.1,11.1,50.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"ELL",3,,,,,4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Economically Disadvantaged",49,28.6,30.6,20.4,20.4,51,2.0,43.1,17.6,37.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"All Students",161,59.0,19.9,11.2,9.9,162,43.8,25.9,14.8,15.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Male",84,63.1,13.1,11.9,11.9,85,42.4,25.9,14.1,17.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Female",77,54.5,27.3,10.4,7.8,77,45.5,26.0,15.6,13.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"White",136,64.0,16.9,10.3,8.8,137,46.7,27.0,13.1,13.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Black",2,,,,,2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Hispanic",21,33.3,38.1,14.3,14.3,21,23.8,19.0,23.8,33.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Asian",2,,,,,2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Native American",0,,,,,0,,,,
