"The 2011 PSSA Mathematics and Reading District Level Proficiency Results*",,,,,,,,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with 10 or fewer students were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"All Students",155,40.0,40.6,11.6,7.7,155,23.9,51.6,12.3,12.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Male",76,35.5,43.4,13.2,7.9,76,22.4,44.7,19.7,13.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Female",79,44.3,38.0,10.1,7.6,79,25.3,58.2,5.1,11.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"White",124,44.4,37.9,9.7,8.1,124,29.0,47.6,12.1,11.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Black",6,,,,,6,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Hispanic",24,29.2,50.0,20.8,0.0,24,4.2,75.0,8.3,12.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Multi-Ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"IEP",12,8.3,8.3,33.3,50.0,12,8.3,16.7,16.7,58.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"ELL",9,,,,,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",3,"Economically Disadvantaged",45,31.1,48.9,17.8,2.2,45,17.8,60.0,11.1,11.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"All Students",167,47.3,34.1,9.6,9.0,165,33.9,33.3,18.2,14.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Male",84,51.2,29.8,8.3,10.7,82,32.9,31.7,19.5,15.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Female",83,43.4,38.6,10.8,7.2,83,34.9,34.9,16.9,13.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"White",146,53.4,30.1,6.8,9.6,144,37.5,33.3,16.0,13.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Black",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Hispanic",20,5.0,65.0,25.0,5.0,20,10.0,35.0,35.0,20.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Multi-Ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"IEP",6,,,,,4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"ELL",9,,,,,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Economically Disadvantaged",50,20.0,50.0,20.0,10.0,48,22.9,33.3,20.8,22.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"All Students",143,46.9,27.3,16.8,9.1,144,22.2,40.3,25.0,12.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Male",67,46.3,23.9,19.4,10.4,67,17.9,40.3,28.4,13.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Female",76,47.4,30.3,14.5,7.9,77,26.0,40.3,22.1,11.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"White",120,50.8,27.5,16.7,5.0,121,26.4,40.5,24.8,8.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Black",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Hispanic",23,26.1,26.1,17.4,30.4,23,0.0,39.1,26.1,34.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Asian",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Multi-Ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"IEP",7,,,,,8,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"ELL",9,,,,,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Economically Disadvantaged",53,35.8,24.5,20.8,18.9,54,5.6,42.6,24.1,27.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"All Students",140,55.0,20.0,11.4,13.6,139,36.7,34.5,16.5,12.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Male",80,56.3,15.0,12.5,16.3,79,34.2,30.4,21.5,13.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Female",60,53.3,26.7,10.0,10.0,60,40.0,40.0,10.0,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"White",127,55.9,20.5,11.0,12.6,126,38.9,34.9,15.1,11.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Black",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Hispanic",11,36.4,18.2,18.2,27.3,11,18.2,27.3,27.3,27.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Native American",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Multi-Ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"IEP",9,,,,,8,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"ELL",3,,,,,3,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",6,"Economically Disadvantaged",48,31.3,27.1,16.7,25.0,47,14.9,44.7,17.0,23.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"All Students",170,58.2,18.2,12.4,11.2,168,33.9,40.5,14.9,10.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Male",93,61.3,15.1,11.8,11.8,92,30.4,44.6,10.9,14.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Female",77,54.5,22.1,13.0,10.4,76,38.2,35.5,19.7,6.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"White",143,62.2,18.9,9.8,9.1,141,36.9,41.8,12.8,8.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Black",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Hispanic",24,37.5,16.7,20.8,25.0,24,16.7,33.3,29.2,20.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Asian",2,,,,,2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Multi-Ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"IEP",11,27.3,27.3,18.2,27.3,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"ELL",9,,,,,9,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",7,"Economically Disadvantaged",51,41.2,17.6,19.6,21.6,51,17.6,39.2,23.5,19.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",169,53.8,23.1,11.2,11.8,170,50.6,29.4,10.0,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",87,57.5,21.8,9.2,11.5,87,47.1,31.0,11.5,10.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",82,50.0,24.4,13.4,12.2,83,54.2,27.7,8.4,9.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",151,57.0,21.2,9.9,11.9,152,53.3,30.3,9.2,7.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Black",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Hispanic",16,31.3,31.3,25.0,12.5,16,31.3,25.0,18.8,25.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Asian",1,,,,,1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Native American",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Multi-Ethnic",0,,,,,0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",13,15.4,30.8,38.5,15.4,14,14.3,42.9,35.7,7.1
