"The 2009 PSSA Science District Level Proficiency Results",,,,,,,,,,
"(Full Academic Year; No PASA Scores) Subgroups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"All Students",142,40.1,47.9,9.2,2.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"IEP",11,9.1,63.6,18.2,9.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Economically Disadvantaged",40,17.5,55.0,17.5,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Male",80,33.8,53.8,11.3,1.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Female",62,48.4,40.3,6.5,4.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"White",129,42.6,45.7,9.3,2.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Hispanic",10,10.0,70.0,10.0,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",154,18.8,38.3,21.4,21.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",14,7.1,14.3,21.4,57.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",26,3.8,23.1,46.2,26.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",83,19.3,39.8,21.7,19.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",71,18.3,36.6,21.1,23.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",143,20.3,37.8,21.0,21.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",155,14.2,25.8,45.2,14.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",15,0,0,40,60
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",18,5.6,11.1,44.4,38.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",84,17.9,22.6,46.4,13.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",71,9.9,29.6,43.7,16.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",137,14.6,27.7,46,11.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",10,0,10,30,60
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"All Students",281,42.3,44.1,10.0,3.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"IEP",29,24.1,24.1,34.5,17.2
