"The 2010 PSSA Science District Level Proficiency Results*",,,,,,,,,,
"*Full Academic Year Students; No PASA Scores. Data for groups with less than 10 students assessed were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"All Students",153,43.1,39.2,11.8,5.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Male",69,40.6,43.5,10.1,5.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Female",84,45.2,35.7,13.1,6.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"White",130,47.7,38.5,10.0,3.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Black",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Hispanic",22,13.6,45.5,22.7,18.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Multi-ethnic",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"IEP",19,52.6,21.1,15.8,10.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"ELL",7,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Economically Disadvantaged",57,28.1,43.9,17.5,10.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",157,24.8,39.5,16.6,19.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",87,26.4,44.8,11.5,17.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",70,22.9,32.9,22.9,21.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",142,25.4,39.4,16.2,19.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Black",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Hispanic",12,16.7,41.7,25.0,16.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Multi-ethnic",2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",19,21.1,31.6,5.3,42.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"ELL",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",38,13.2,42.1,15.8,28.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",151,13.2,26.5,44.4,15.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",75,16.0,24.0,40.0,20.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",76,10.5,28.9,48.7,11.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",134,14.2,28.4,41.8,15.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Black",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",11,9.1,0,63.6,27.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Asian",4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Native American",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Multi-ethnic",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",20,15.0,5.0,25.0,55.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"ELL",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",32,6.3,18.8,59.4,15.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"All Students",294,44.6,41.2,8.5,5.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Male",145,42.1,40.0,10.3,7.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Female",149,47.0,42.3,6.7,4.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"White",251,47.8,39.4,7.6,5.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Black",8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Hispanic",32,18.8,56.3,12.5,12.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Asian",3,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Native American",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Multi-ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"IEP",36,19.4,38.9,19.4,22.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"ELL",7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Economically Disadvantaged",117,26.5,47.9,14.5,11.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",272,26.5,33.5,21.7,18.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",121,28.9,33.1,19,19
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",151,24.5,33.8,23.8,17.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",243,28.4,35.0,21.8,14.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Black",4,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",23,8.7,13.0,26.1,52.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Asian",2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Native American",0,,,,
