"The 2011 PSSA Science District Level Proficiency Results*",,,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with 10 or fewer students were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Science","% Advanced Science","% Proficient Science","% Basic Science","% Below Basic Science"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"All Students",168,41.1,41.7,11.9,5.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Male",84,47.6,36.9,9.5,6.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Female",84,34.5,46.4,14.3,4.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"White",146,44.5,39.7,9.6,6.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Black",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Hispanic",21,19.0,57.1,23.8,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Multi-Ethnic",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"IEP",6,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"ELL",10,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",4,"Economically Disadvantaged",51,25.5,49.0,17.6,7.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",169,21.3,38.5,17.8,22.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",87,26.4,42.5,10.3,20.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",82,15.9,34.1,25.6,24.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",152,23.0,40.1,15.8,21.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Black",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Hispanic",15,6.7,26.7,40.0,26.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Multi-Ethnic",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",14,7.1,7.1,14.3,71.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"ELL",4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",38,18.4,23.7,21.1,36.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",139,8.6,25.9,47.5,18.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",73,9.6,37.0,38.4,15.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",66,7.6,13.6,57.6,21.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",131,9.2,26.7,46.6,17.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Black",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",7,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Multi-Ethnic",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",10,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"ELL",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",22,4.5,4.5,72.7,18.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"All Students",287,53.3,36.2,7.0,3.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Male",149,61.7,29.5,5.4,3.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Female",138,44.2,43.5,8.7,3.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"White",242,54.5,37.6,5.4,2.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Black",7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Hispanic",36,41.7,33.3,13.9,11.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Asian",2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Native American",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Multi-Ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"IEP",32,25.0,50.0,18.8,6.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"ELL",7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",4,"Economically Disadvantaged",115,39.1,42.6,13.0,5.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",283,29.0,39.2,19.4,12.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",137,26.3,38.7,20.4,14.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",146,31.5,39.7,18.5,10.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",251,30.7,38.2,20.7,10.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Black",4,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",26,7.7,53.8,11.5,26.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Asian",2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Native American",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Multi-Ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",26,3.8,23.1,30.8,42.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"ELL",4,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",96,17.7,36.5,28.1,17.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",301,15.3,29.6,41.2,14.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",155,16.1,33.5,38.7,11.6
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",146,14.4,25.3,43.8,16.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",267,16.5,31.8,41.2,10.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Black",6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",25,8.0,12.0,48.0,32.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Asian",3,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Native American",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Multi-Ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",26,3.8,3.8,42.3,50.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"ELL",5,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",69,7.2,26.1,43.5,23.2
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"All Students",88,56.8,30.7,5.7,6.8
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Male",42,59.5,26.2,4.8,9.5
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Female",46,54.3,34.8,6.5,4.3
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"White",85,56.5,30.6,5.9,7.1
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Black",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Hispanic",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Asian",2,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Multi-Ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"IEP",7,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",4,"Economically Disadvantaged",19,47.4,36.8,0.0,15.8
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"All Students",98,24.5,36.7,19.4,19.4
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Male",50,28.0,38.0,12.0,22.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Female",48,20.8,35.4,27.1,16.7
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"White",94,25.5,35.1,19.1,20.2
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Black",2,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Hispanic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Asian",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Multi-Ethnic",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"IEP",11,0.0,18.2,18.2,63.6
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Economically Disadvantaged",23,4.3,34.8,21.7,39.1
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"All Students",98,10.2,34.7,41.8,13.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Male",48,10.4,37.5,43.8,8.3
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Female",50,10.0,32.0,40.0,18.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"White",92,10.9,34.8,41.3,13.0
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Black",2,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Hispanic",3,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Asian",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Multi-Ethnic",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"IEP",8,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"ELL",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",11,"Economically Disadvantaged",9,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"All Students",217,47.5,40.1,11.1,1.4
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Male",116,52.6,37.1,9.5,0.9
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Female",101,41.6,43.6,12.9,2.0
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"White",179,52.0,40.2,6.7,1.1
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Black",7,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Hispanic",26,15.4,42.3,38.5,3.8
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Asian",5,,,,
112013753,"Adams",12,"GETTYSBURG AREA SD",4,"Native American",0,,,,
