"The 2009 PSSA Writing District Level Proficiency Results",,,,,,,,,,
"(Full Academic Year; No PASA Scores) Subgroups with less than 10 students assessed were removed from the file. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,,,,,,,,,
"AUN","County","IU Number","District","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"All Students",168,1.8,54.8,42.3,1.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"IEP",10,0.0,0.0,90.0,10.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Economically Disadvantaged",48,0.0,47.9,50.0,2.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Male",90,0.0,51.1,46.7,2.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Female",78,3.8,59.0,37.2,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"White",146,2.1,56.8,39.7,1.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Hispanic",18,0.0,38.9,61.1,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",158,8.2,59.5,25.3,7.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",16,0.0,12.5,68.8,18.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",26,3.8,57.7,26.9,11.5
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",86,3.5,55.8,31.4,9.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",72,13.9,63.9,18.1,4.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",146,8.9,60.3,24.0,6.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",154,11.7,72.7,12.3,3.2
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",13,0.0,46.2,30.8,23.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",19,5.3,63.2,26.3,5.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",82,9.8,67.1,18.3,4.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",72,13.9,79.2,5.6,1.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",136,12.5,73.5,11.0,2.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",10,0.0,60.0,30.0,10.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"All Students",278,0.7,54.3,44.2,0.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"IEP",33,0.0,12.1,81.8,6.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Economically Disadvantaged",85,0.0,40.0,60.0,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Male",143,0.0,46.9,51.7,1.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Female",135,1.5,62.2,36.3,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"White",232,0.9,56.0,42.2,0.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Black",11,0.0,54.5,45.5,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Hispanic",33,0.0,39.4,60.6,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",311,9.3,60.8,24.1,5.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",42,2.4,28.6,42.9,26.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",77,5.2,49.4,33.8,11.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",141,5.7,55.3,30.5,8.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",170,12.4,65.3,18.8,3.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",276,9.8,60.9,23.6,5.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",24,4.2,62.5,29.2,4.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",314,7.6,65.9,23.2,3.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",41,0.0,24.4,56.1,19.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",56,3.6,58.9,32.1,5.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",163,4.9,58.9,30.7,5.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",149,10.1,74.5,14.8,0.7
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",270,8.1,65.6,24.1,2.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",34,0.0,70.6,17.6,11.8
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"All Students",97,2.1,37.1,59.8,1.0
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"IEP",11,9.1,18.2,72.7,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Economically Disadvantaged",17,0.0,29.4,70.6,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Male",48,2.1,31.3,64.6,2.1
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Female",49,2.0,42.9,55.1,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"White",97,2.1,37.1,59.8,1.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"All Students",100,7.0,59.0,33.0,1.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"IEP",10,0.0,30.0,60.0,10.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Economically Disadvantaged",16,6.3,56.3,31.3,6.3
