"The 2010 PSSA Writing District Level Proficiency Results*",,,,,,,,,,
"*Full Academic Year Students. Data for groups with less than 10 students assessed were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
"AUN","County","IU #","District","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"All Students",144,2.1,63.2,32.6,2.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Male",81,2.5,50.6,43.2,3.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Female",63,1.6,79.4,19.0,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"White",129,2.3,64.3,31.0,2.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Black",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Hispanic",12,0.0,41.7,58.3,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Multi-ethnic",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"IEP",18,5.6,33.3,44.4,16.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"ELL",4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",5,"Economically Disadvantaged",51,0.0,41.2,54.9,3.9
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"All Students",155,11.6,69.7,16.1,2.6
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Male",86,10.5,62.8,22.1,4.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Female",69,13.0,78.3,8.7,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"White",142,11.3,71.8,15.5,1.4
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Black",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Hispanic",10,10.0,50.0,20.0,20.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Asian",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Native American",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Multi-ethnic",2,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"IEP",18,16.7,27.8,44.4,11.1
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"ELL",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",36,5.6,63.9,22.2,8.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"All Students",152,8.6,68.4,22.4,0.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Male",76,3.9,60.5,34.2,1.3
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Female",76,13.2,76.3,10.5,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"White",135,8.1,67.4,23.7,0.7
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Black",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Hispanic",11,0.0,90.9,9.1,0.0
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Asian",4,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Native American",1,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Multi-ethnic",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"IEP",21,4.8,42.9,47.6,4.8
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"ELL",0,,,,
112011103,"Adams",12,"BERMUDIAN SPRINGS SD",11,"Economically Disadvantaged",33,9.1,72.7,18.2,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"All Students",287,2.4,58.9,37.6,1.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Male",144,0.0,50.0,47.9,2.1
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Female",143,4.9,67.8,27.3,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"White",239,2.5,59.8,36.4,1.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Black",6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Hispanic",40,2.5,55.0,42.5,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Asian",1,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Native American",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Multi-ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"IEP",29,0.0,20.7,72.4,6.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"ELL",8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",5,"Economically Disadvantaged",102,2.0,55.9,40.2,2.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"All Students",272,8.8,66.9,23.9,0.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Male",121,5.8,62.0,31.4,0.8
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Female",151,11.3,70.9,17.9,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"White",243,8.2,68.3,23.5,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Black",4,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Hispanic",23,13.0,60.9,26.1,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Asian",2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Native American",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Multi-ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"IEP",25,0.0,48.0,52.0,0.0
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"ELL",8,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",8,"Economically Disadvantaged",79,7.6,54.4,36.7,1.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"All Students",292,6.2,65.4,27.1,1.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Male",151,4.0,56.3,38.4,1.3
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Female",141,8.5,75.2,14.9,1.4
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"White",248,7.3,65.7,25.8,1.2
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Black",7,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Hispanic",34,0.0,64.7,32.4,2.9
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Asian",2,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Native American",1,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Multi-ethnic",0,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"IEP",26,0.0,11.5,76.9,11.5
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"ELL",6,,,,
112011603,"Adams",12,"CONEWAGO VALLEY SD",11,"Economically Disadvantaged",79,2.5,59.5,36.7,1.3
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"All Students",78,0.0,44.9,51.3,3.8
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Male",41,0.0,39.0,56.1,4.9
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Female",37,0.0,51.4,45.9,2.7
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"White",74,0.0,44.6,51.4,4.1
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Black",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Hispanic",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Asian",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Native American",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Multi-ethnic",1,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"IEP",5,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"ELL",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",5,"Economically Disadvantaged",12,0.0,58.3,33.3,8.3
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"All Students",105,4.8,69.5,24.8,1.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Male",56,0.0,57.1,41.1,1.8
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Female",49,10.2,83.7,6.1,0.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"White",102,4.9,68.6,25.5,1.0
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Black",0,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Hispanic",2,,,,
112013054,"Adams",12,"FAIRFIELD AREA SD",8,"Asian",1,,,,
