"The 2011 PSSA Writing District Level Proficiency Results*",,,,,,,,,
"*Full Academic Year Students; No PASA/PSSA-M Scores. Data for groups with 10 or fewer students were replaced by blanks. Percentages were rounded to the nearest tenth. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,
,,,,,,,,,
"AUN","County","District","Grade","Group","Number Scored Writing","% Advanced Writing","% Proficient Writing","% Basic Writing","% Below Basic Writing"
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"All Students",145,2.1,64.8,31.0,2.1
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Male",67,1.5,55.2,41.8,1.5
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Female",78,2.6,73.1,21.8,2.6
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"White",122,2.5,71.3,23.8,2.5
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Black",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Hispanic",23,0.0,30.4,69.6,0.0
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Asian",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Native American",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Multi-Ethnic",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"IEP",10,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"ELL",9,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",5,"Economically Disadvantaged",53,0.0,47.2,49.1,3.8
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"All Students",173,6.4,71.7,20.8,1.2
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Male",89,3.4,69.7,25.8,1.1
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Female",84,9.5,73.8,15.5,1.2
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"White",155,7.1,72.3,19.4,1.3
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Black",1,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Hispanic",17,0.0,70.6,29.4,0.0
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Asian",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Native American",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Multi-Ethnic",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"IEP",17,0.0,47.1,52.9,0.0
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"ELL",6,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",8,"Economically Disadvantaged",41,2.4,53.7,43.9,0.0
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"All Students",145,9.7,73.1,16.6,0.7
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Male",77,5.2,74.0,19.5,1.3
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Female",68,14.7,72.1,13.2,0.0
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"White",136,10.3,73.5,15.4,0.7
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Black",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Hispanic",8,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Asian",1,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Native American",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"Multi-Ethnic",0,,,,
112011103,"Adams","BERMUDIAN SPRINGS SD",11,"IEP",16,6.3,37.5,50.0,6.3
