year,aun,county,district,grade,math_a,math_p,math_b,math_bb,reading_a,reading_p,reading_b,reading_bb
2002,112011103,Adams,BERMUDIAN SPRINGS SD,5,20,23.2,28.6,28.1,22.2,34.6,25.9,17.3
2002,112011103,Adams,BERMUDIAN SPRINGS SD,8,19.3,33.1,27.7,19.9,28.5,33.3,17.6,20.6
2002,112011103,Adams,BERMUDIAN SPRINGS SD,11,26.6,38.8,20.1,14.4,16.7,55.8,19.6,8
2002,112011603,Adams,CONEWAGO VALLEY SD,5,17.9,30.7,25.3,26.1,19.5,36.2,23.7,20.6
2002,112011603,Adams,CONEWAGO VALLEY SD,8,19.8,34.2,20.8,25.2,12.7,43.1,21.4,22.7
2002,112011603,Adams,CONEWAGO VALLEY SD,11,18.9,29,27,25.1,8.9,51,19.5,20.6
2002,112013054,Adams,FAIRFIELD AREA SD,5,14.4,33.1,23.7,28.8,11,44.1,23.7,21.2
2002,112013054,Adams,FAIRFIELD AREA SD,8,9.2,41.3,31.2,18.3,20.2,42.2,23.9,13.8
2002,112013054,Adams,FAIRFIELD AREA SD,11,11.7,24.5,29.8,34,4.3,44.1,31.2,20.4
2002,112013753,Adams,GETTYSBURG AREA SD,5,17.7,27.8,22.6,32,14,44.2,21.5,20.4
2002,112013753,Adams,GETTYSBURG AREA SD,8,20.6,36.3,24,19.1,16.9,43.4,22.8,16.9
2002,112013753,Adams,GETTYSBURG AREA SD,11,25,28,20.9,26,21.4,42,22,14.6
2002,112015203,Adams,LITTLESTOWN AREA SD,5,27.1,29.1,21.7,22.2,16.7,43.8,21.2,18.2
2002,112015203,Adams,LITTLESTOWN AREA SD,8,7.5,42,27.6,23,20.7,41.4,21.8,16.1
2002,112015203,Adams,LITTLESTOWN AREA SD,11,12,34.3,25.9,27.7,9.1,55.5,20.1,15.2
2002,112018523,Adams,UPPER ADAMS SD,5,35.2,29.7,17.2,17.9,14.7,43.4,26.6,15.4
2002,112018523,Adams,UPPER ADAMS SD,8,10.6,47.5,19.1,22.7,14.3,42.1,20,23.6
2002,112018523,Adams,UPPER ADAMS SD,11,20.3,32.2,22,25.4,14.4,50.8,22,12.7
2002,103020603,Allegheny,ALLEGHENY VALLEY SD,5,18.9,26.4,37.7,17,12.3,54.7,22.6,10.4
2002,103020603,Allegheny,ALLEGHENY VALLEY SD,8,22,50,15,13,29,51,15,5
2002,103020603,Allegheny,ALLEGHENY VALLEY SD,11,24.1,27.8,19.4,28.7,19.4,39.8,25,15.7
2002,103020753,Allegheny,AVONWORTH SD,5,35.5,36.6,12.9,15.1,38.7,43,14,4.3
2002,103020753,Allegheny,AVONWORTH SD,8,19.4,48.4,18.3,14,40.9,39.8,15.1,4.3
2002,103020753,Allegheny,AVONWORTH SD,11,21,33,25,21,21,40,24,15
2002,103021102,Allegheny,BALDWIN-WHITEHALL SD,5,35.4,22.6,22.3,19.7,18.3,43.4,24.6,13.7
2002,103021102,Allegheny,BALDWIN-WHITEHALL SD,8,26.4,44.4,14.1,15.1,12.7,44.7,23.1,19.5
2002,103021102,Allegheny,BALDWIN-WHITEHALL SD,11,29.9,35.1,23.2,11.8,19.5,46.4,19.5,14.5
2002,103021252,Allegheny,BETHEL PARK SD,5,37,37.8,16.3,8.8,37.8,45,12.4,4.7
2002,103021252,Allegheny,BETHEL PARK SD,8,30.9,44.6,15.6,8.9,31.6,46.7,15.1,6.6
2002,103021252,Allegheny,BETHEL PARK SD,11,39.4,35.2,13.4,12,18.4,52.6,17,12
2002,103021453,Allegheny,BRENTWOOD BOROUGH SD,5,19,34.5,23.3,23.3,29.3,43.1,16.4,11.2
2002,103021453,Allegheny,BRENTWOOD BOROUGH SD,8,8.2,51.6,25.4,14.8,15.6,50,25.4,9
2002,103021453,Allegheny,BRENTWOOD BOROUGH SD,11,13.6,30.3,25.8,30.3,9.8,41.7,28,20.5
2002,103021603,Allegheny,CARLYNTON SD,5,29.1,26.8,22.8,21.3,21.1,45.3,20.3,13.3
2002,103021603,Allegheny,CARLYNTON SD,8,27.6,38.1,21.6,12.7,24.6,42.5,23.9,9
2002,103021603,Allegheny,CARLYNTON SD,11,17.8,33.3,28.7,20.2,10.9,52.3,22.7,14.1
2002,103021752,Allegheny,CHARTIERS VALLEY SD,5,34.6,26,24.8,14.6,15,51.2,23.2,10.6
2002,103021752,Allegheny,CHARTIERS VALLEY SD,8,20.9,38,24.4,16.7,29.9,42.4,18.2,9.5
2002,103021752,Allegheny,CHARTIERS VALLEY SD,11,25.7,33.5,17,23.9,18.8,49.5,21.6,10.1
2002,103021903,Allegheny,CLAIRTON CITY SD,5,4.5,18.2,29.5,47.7,2.3,18.2,30.7,48.9
2002,103021903,Allegheny,CLAIRTON CITY SD,8,8.8,24.6,45.6,21.1,10.7,50,28.6,10.7
2002,103021903,Allegheny,CLAIRTON CITY SD,11,1.8,8.9,21.4,67.9,3.7,29.6,31.5,35.2
2002,103022103,Allegheny,CORNELL SD,5,18.2,21.2,33.3,27.3,16.7,31.8,28.8,22.7
2002,103022103,Allegheny,CORNELL SD,8,2.1,34,17,46.8,14.9,36.2,21.3,27.7
2002,103022103,Allegheny,CORNELL SD,11,6.1,12.2,42.9,38.8,8.2,36.7,28.6,26.5
2002,103022253,Allegheny,DEER LAKES SD,5,26.7,38.5,24.4,10.4,29.4,44.1,16.9,9.6
2002,103022253,Allegheny,DEER LAKES SD,8,17.7,34.9,26.3,21.1,24.1,41.4,17.8,16.7
2002,103022253,Allegheny,DEER LAKES SD,11,14.7,31.6,24.2,29.5,6.9,42.3,28.6,22.2
2002,103022503,Allegheny,DUQUESNE CITY SD,5,2.7,13.3,20,64,4.1,16.2,35.1,44.6
2002,103022503,Allegheny,DUQUESNE CITY SD,8,0,1.6,16.1,82.3,0,8.1,25.8,66.1
2002,103022503,Allegheny,DUQUESNE CITY SD,11,0,12.1,18.2,69.7,2.7,21.6,27,48.6
2002,103022803,Allegheny,EAST ALLEGHENY SD,5,16.2,28.2,25.6,29.9,9.4,43.6,25.6,21.4
2002,103022803,Allegheny,EAST ALLEGHENY SD,8,11.6,30.6,21.1,36.7,9.8,35,26.6,28.7
2002,103022803,Allegheny,EAST ALLEGHENY SD,11,10.5,22.6,28.6,38.3,4.7,37.8,26,31.5
2002,103023153,Allegheny,ELIZABETH FORWARD SD,5,27.3,32.9,21.7,18.1,16.5,49.2,23,11.3
2002,103023153,Allegheny,ELIZABETH FORWARD SD,8,3.3,35.7,27.4,33.6,16.1,42.1,14.9,26.9
