year,aun,county,district,grade,math,reading
2002,112011103,Adams,BERMUDIAN SPRINGS SD,5,20,22.2
2002,112011103,Adams,BERMUDIAN SPRINGS SD,8,19.3,28.5
2002,112011103,Adams,BERMUDIAN SPRINGS SD,11,26.6,16.7
2002,112011603,Adams,CONEWAGO VALLEY SD,5,17.9,19.5
2002,112011603,Adams,CONEWAGO VALLEY SD,8,19.8,12.7
2002,112011603,Adams,CONEWAGO VALLEY SD,11,18.9,8.9
2002,112013054,Adams,FAIRFIELD AREA SD,5,14.4,11
2002,112013054,Adams,FAIRFIELD AREA SD,8,9.2,20.2
2002,112013054,Adams,FAIRFIELD AREA SD,11,11.7,4.3
2002,112013753,Adams,GETTYSBURG AREA SD,5,17.7,14
2002,112013753,Adams,GETTYSBURG AREA SD,8,20.6,16.9
2002,112013753,Adams,GETTYSBURG AREA SD,11,25,21.4
2002,112015203,Adams,LITTLESTOWN AREA SD,5,27.1,16.7
2002,112015203,Adams,LITTLESTOWN AREA SD,8,7.5,20.7
2002,112015203,Adams,LITTLESTOWN AREA SD,11,12,9.1
2002,112018523,Adams,UPPER ADAMS SD,5,35.2,14.7
2002,112018523,Adams,UPPER ADAMS SD,8,10.6,14.3
2002,112018523,Adams,UPPER ADAMS SD,11,20.3,14.4
2002,103020603,Allegheny,ALLEGHENY VALLEY SD,5,18.9,12.3
2002,103020603,Allegheny,ALLEGHENY VALLEY SD,8,22,29
2002,103020603,Allegheny,ALLEGHENY VALLEY SD,11,24.1,19.4
2002,103020753,Allegheny,AVONWORTH SD,5,35.5,38.7
2002,103020753,Allegheny,AVONWORTH SD,8,19.4,40.9
2002,103020753,Allegheny,AVONWORTH SD,11,21,21
2002,103021102,Allegheny,BALDWIN-WHITEHALL SD,5,35.4,18.3
2002,103021102,Allegheny,BALDWIN-WHITEHALL SD,8,26.4,12.7
2002,103021102,Allegheny,BALDWIN-WHITEHALL SD,11,29.9,19.5
2002,103021252,Allegheny,BETHEL PARK SD,5,37,37.8
2002,103021252,Allegheny,BETHEL PARK SD,8,30.9,31.6
2002,103021252,Allegheny,BETHEL PARK SD,11,39.4,18.4
2002,103021453,Allegheny,BRENTWOOD BOROUGH SD,5,19,29.3
2002,103021453,Allegheny,BRENTWOOD BOROUGH SD,8,8.2,15.6
2002,103021453,Allegheny,BRENTWOOD BOROUGH SD,11,13.6,9.8
2002,103021603,Allegheny,CARLYNTON SD,5,29.1,21.1
2002,103021603,Allegheny,CARLYNTON SD,8,27.6,24.6
2002,103021603,Allegheny,CARLYNTON SD,11,17.8,10.9
2002,103021752,Allegheny,CHARTIERS VALLEY SD,5,34.6,15
2002,103021752,Allegheny,CHARTIERS VALLEY SD,8,20.9,29.9
2002,103021752,Allegheny,CHARTIERS VALLEY SD,11,25.7,18.8
2002,103021903,Allegheny,CLAIRTON CITY SD,5,4.5,2.3
2002,103021903,Allegheny,CLAIRTON CITY SD,8,8.8,10.7
2002,103021903,Allegheny,CLAIRTON CITY SD,11,1.8,3.7
2002,103022103,Allegheny,CORNELL SD,5,18.2,16.7
2002,103022103,Allegheny,CORNELL SD,8,2.1,14.9
2002,103022103,Allegheny,CORNELL SD,11,6.1,8.2
2002,103022253,Allegheny,DEER LAKES SD,5,26.7,29.4
2002,103022253,Allegheny,DEER LAKES SD,8,17.7,24.1
2002,103022253,Allegheny,DEER LAKES SD,11,14.7,6.9
2002,103022503,Allegheny,DUQUESNE CITY SD,5,2.7,4.1
2002,103022503,Allegheny,DUQUESNE CITY SD,8,0,0
2002,103022503,Allegheny,DUQUESNE CITY SD,11,0,2.7
2002,103022803,Allegheny,EAST ALLEGHENY SD,5,16.2,9.4
2002,103022803,Allegheny,EAST ALLEGHENY SD,8,11.6,9.8
2002,103022803,Allegheny,EAST ALLEGHENY SD,11,10.5,4.7
2002,103023153,Allegheny,ELIZABETH FORWARD SD,5,27.3,16.5
2002,103023153,Allegheny,ELIZABETH FORWARD SD,8,3.3,16.1
2002,103023153,Allegheny,ELIZABETH FORWARD SD,11,6.6,14.2
2002,103023912,Allegheny,FOX CHAPEL AREA SD,5,42.9,30.9
2002,103023912,Allegheny,FOX CHAPEL AREA SD,8,33.7,47.1
2002,103023912,Allegheny,FOX CHAPEL AREA SD,11,39.8,35.2
2002,103024102,Allegheny,GATEWAY SD,5,27.2,12
2002,103024102,Allegheny,GATEWAY SD,8,19.3,23.6
2002,103024102,Allegheny,GATEWAY SD,11,19.2,7.1
2002,103024603,Allegheny,HAMPTON TOWNSHIP SD,5,38.6,39.9
2002,103024603,Allegheny,HAMPTON TOWNSHIP SD,8,31.2,28.8
2002,103024603,Allegheny,HAMPTON TOWNSHIP SD,11,44.9,32.8
2002,103024753,Allegheny,HIGHLANDS SD,5,17,22.2
2002,103024753,Allegheny,HIGHLANDS SD,8,28,24.8
2002,103024753,Allegheny,HIGHLANDS SD,11,24.3,14.7
2002,103025002,Allegheny,KEYSTONE OAKS SD,5,39.1,20.7
