year,aun,county,district,grade,science_a,science_p,science_b,science_bb
2008,112011103,Adams,BERMUDIAN SPRINGS SD,4,37.1,51.5,9.6,1.8
2008,112011103,Adams,BERMUDIAN SPRINGS SD,8,17.2,31.8,33.1,17.8
2008,112011103,Adams,BERMUDIAN SPRINGS SD,11,12.1,23.7,52.6,11.6
2008,112011603,Adams,CONEWAGO VALLEY SD,4,39.9,46.1,10.7,3.3
2008,112011603,Adams,CONEWAGO VALLEY SD,8,18.7,42.3,22.3,16.7
2008,112011603,Adams,CONEWAGO VALLEY SD,11,8.2,29.5,47,15.3
2008,112013054,Adams,FAIRFIELD AREA SD,4,32.6,50.5,15.8,1.1
2008,112013054,Adams,FAIRFIELD AREA SD,8,21.6,44.1,27.5,6.9
2008,112013054,Adams,FAIRFIELD AREA SD,11,9.3,25.8,49.5,15.5
2008,112013753,Adams,GETTYSBURG AREA SD,4,36.5,50.2,12.3,0.9
2008,112013753,Adams,GETTYSBURG AREA SD,8,15.6,35.9,29.9,18.6
2008,112013753,Adams,GETTYSBURG AREA SD,11,6.5,19.9,58.2,15.3
2008,112015203,Adams,LITTLESTOWN AREA SD,4,35.7,47.9,15,1.4
2008,112015203,Adams,LITTLESTOWN AREA SD,8,18.9,40.2,29.3,11.6
2008,112015203,Adams,LITTLESTOWN AREA SD,11,7.3,27.7,49.2,15.7
2008,112018523,Adams,UPPER ADAMS SD,4,44.3,39.3,13.1,3.3
2008,112018523,Adams,UPPER ADAMS SD,8,14.3,37.4,36.1,12.2
2008,112018523,Adams,UPPER ADAMS SD,11,8.1,32.6,49.6,9.6
2008,103020603,Allegheny,ALLEGHENY VALLEY SD,4,53.6,25,15.5,6
2008,103020603,Allegheny,ALLEGHENY VALLEY SD,8,9.7,30.1,41.9,18.3
2008,103020603,Allegheny,ALLEGHENY VALLEY SD,11,2.9,22.3,66,8.7
2008,103020753,Allegheny,AVONWORTH SD,4,53.2,38.3,7.4,1.1
2008,103020753,Allegheny,AVONWORTH SD,8,34,39.8,18.4,7.8
2008,103020753,Allegheny,AVONWORTH SD,11,15.7,37.3,34.3,12.7
2008,103021102,Allegheny,BALDWIN-WHITEHALL SD,4,32.1,47.4,14.2,6.3
2008,103021102,Allegheny,BALDWIN-WHITEHALL SD,8,15.3,38.6,29.6,16.5
2008,103021102,Allegheny,BALDWIN-WHITEHALL SD,11,7.6,23.9,52.2,16.3
2008,103021252,Allegheny,BETHEL PARK SD,4,51.7,42.3,5,0.9
2008,103021252,Allegheny,BETHEL PARK SD,8,26.1,46.2,18.7,9.1
2008,103021252,Allegheny,BETHEL PARK SD,11,16.8,30.8,43.8,8.8
2008,103021453,Allegheny,BRENTWOOD BOROUGH SD,4,57,25.3,15.2,2.5
2008,103021453,Allegheny,BRENTWOOD BOROUGH SD,8,19.4,49,17.3,14.3
2008,103021453,Allegheny,BRENTWOOD BOROUGH SD,11,5.9,23.5,53.8,16.8
2008,103021603,Allegheny,CARLYNTON SD,4,37.3,45.5,12.7,4.5
2008,103021603,Allegheny,CARLYNTON SD,8,9.5,35.3,30.2,25
2008,103021603,Allegheny,CARLYNTON SD,11,12.7,24.6,49.2,13.6
2008,103021752,Allegheny,CHARTIERS VALLEY SD,4,39.4,44.9,14.4,1.3
2008,103021752,Allegheny,CHARTIERS VALLEY SD,8,23.1,41.8,21.1,13.9
2008,103021752,Allegheny,CHARTIERS VALLEY SD,11,22.7,32.3,37.2,7.8
2008,103021903,Allegheny,CLAIRTON CITY SD,4,5.6,42.6,27.8,24.1
2008,103021903,Allegheny,CLAIRTON CITY SD,8,1.6,11.1,27,60.3
2008,103021903,Allegheny,CLAIRTON CITY SD,11,1.5,1.5,33.8,63.1
2008,103022103,Allegheny,CORNELL SD,4,46.9,37.5,9.4,6.3
2008,103022103,Allegheny,CORNELL SD,8,5.2,36.2,34.5,24.1
2008,103022103,Allegheny,CORNELL SD,11,8,10,52,30
2008,103022253,Allegheny,DEER LAKES SD,4,49.7,34.6,12.6,3.1
2008,103022253,Allegheny,DEER LAKES SD,8,13.4,43,28.9,14.8
2008,103022253,Allegheny,DEER LAKES SD,11,9.4,26.2,53.7,10.7
2008,103022503,Allegheny,DUQUESNE CITY SD,4,2.8,16.7,47.2,33.3
2008,103022503,Allegheny,DUQUESNE CITY SD,8,0,2.5,30,67.5
2008,103022503,Allegheny,DUQUESNE CITY SD,11,0,11.1,25,63.9
2008,103022803,Allegheny,EAST ALLEGHENY SD,4,30.2,54.3,9.5,6
2008,103022803,Allegheny,EAST ALLEGHENY SD,8,3.7,29.2,29.8,37.3
2008,103022803,Allegheny,EAST ALLEGHENY SD,11,6,14.2,41,38.8
2008,103023153,Allegheny,ELIZABETH FORWARD SD,4,53.2,36.6,9.1,1.1
2008,103023153,Allegheny,ELIZABETH FORWARD SD,8,15.6,41.4,30,13.1
2008,103023153,Allegheny,ELIZABETH FORWARD SD,11,3.3,21.3,62.8,12.6
2008,103023912,Allegheny,FOX CHAPEL AREA SD,4,63.4,30.3,5.4,0.9
2008,103023912,Allegheny,FOX CHAPEL AREA SD,8,33.2,44.5,12.1,10.2
2008,103023912,Allegheny,FOX CHAPEL AREA SD,11,28.7,37.3,29.4,4.5
2008,103024102,Allegheny,GATEWAY SD,4,45.3,43.1,8.6,3
2008,103024102,Allegheny,GATEWAY SD,8,18.5,40,22.6,18.8
2008,103024102,Allegheny,GATEWAY SD,11,10.3,24.5,49.2,16
2008,103024603,Allegheny,HAMPTON TOWNSHIP SD,4,67.1,30.5,2.4,0
2008,103024603,Allegheny,HAMPTON TOWNSHIP SD,8,33.7,49.2,11,6.1
2008,103024603,Allegheny,HAMPTON TOWNSHIP SD,11,27.2,39.1,30.5,3.3
2008,103024753,Allegheny,HIGHLANDS SD,4,40.8,47.1,10.5,1.6
2008,103024753,Allegheny,HIGHLANDS SD,8,13.4,42,27.2,17.4
2008,103024753,Allegheny,HIGHLANDS SD,11,5.7,21.8,60.9,11.5
2008,103025002,Allegheny,KEYSTONE OAKS SD,4,50.3,42.4,7.3,0
2008,103025002,Allegheny,KEYSTONE OAKS SD,8,10.6,47,27.2,15.2
2008,103025002,Allegheny,KEYSTONE OAKS SD,11,4.3,28.3,49.7,17.6
2008,103026002,Allegheny,MCKEESPORT AREA SD,4,24.9,47.3,20.6,7.2
2008,103026002,Allegheny,MCKEESPORT AREA SD,8,5.6,22.3,27.6,44.5
2008,103026002,Allegheny,MCKEESPORT AREA SD,11,1.1,11.3,47.2,40.4
2008,103026303,Allegheny,MONTOUR SD,4,43.3,43.8,9.4,3.4
2008,103026303,Allegheny,MONTOUR SD,8,16.9,34.6,30.4,18.1
2008,103026303,Allegheny,MONTOUR SD,11,11.2,30.9,52.6,5.2
2008,103026343,Allegheny,MOON AREA SD,4,63.2,29.9,6.2,0.7
2008,103026343,Allegheny,MOON AREA SD,8,27.3,42.4,22.2,8.1
2008,103026343,Allegheny,MOON AREA SD,11,18.8,33.9,42.1,5.1
2008,103026402,Allegheny,MT LEBANON SD,4,65.2,29.9,3.7,1.1
2008,103026402,Allegheny,MT LEBANON SD,8,32.5,46.9,14.7,5.9
2008,103026402,Allegheny,MT LEBANON SD,11,28.6,43.2,25,3.2
2008,103026852,Allegheny,NORTH ALLEGHENY SD,4,77,21,1.8,0.2
2008,103026852,Allegheny,NORTH ALLEGHENY SD,8,42.7,42.2,10.5,4.6
2008,103026852,Allegheny,NORTH ALLEGHENY SD,11,24.8,39.6,33.2,2.4
2008,103026902,Allegheny,NORTH HILLS SD,4,57.1,38.3,3.6,1
2008,103026902,Allegheny,NORTH HILLS SD,8,19.1,43.7,22,15.1
2008,103026902,Allegheny,NORTH HILLS SD,11,13.7,31.7,43.3,11.3
2008,103026873,Allegheny,NORTHGATE SD,4,43.9,39,14.6,2.4
2008,103026873,Allegheny,NORTHGATE SD,8,14.1,32.6,28.3,25
2008,103026873,Allegheny,NORTHGATE SD,11,9.4,18.9,55.7,16
2008,103027352,Allegheny,PENN HILLS SD,4,25.7,48.9,19.7,5.7
2008,103027352,Allegheny,PENN HILLS SD,8,8.9,25.4,27,38.8
2008,103027352,Allegheny,PENN HILLS SD,11,3.4,13.8,55.3,27.5
2008,103021003,Allegheny,PINE-RICHLAND SD,4,52.8,37.9,7.8,1.5
2008,103021003,Allegheny,PINE-RICHLAND SD,8,31.4,45,16.4,7.2
2008,103021003,Allegheny,PINE-RICHLAND SD,11,19,35.1,39.3,6.5
2008,102027451,Allegheny,PITTSBURGH SD,4,25.1,41.6,21.2,12.1
2008,102027451,Allegheny,PITTSBURGH SD,8,6.9,21.4,25.3,46.4
2008,102027451,Allegheny,PITTSBURGH SD,11,6.7,12.7,43.6,37.1
2008,103027503,Allegheny,PLUM BOROUGH SD,4,54.1,38.2,6.8,1
2008,103027503,Allegheny,PLUM BOROUGH SD,8,22.4,43.8,23.6,10.2
2008,103027503,Allegheny,PLUM BOROUGH SD,11,11,30.2,46,12.8
2008,103027753,Allegheny,QUAKER VALLEY SD,4,53.8,35.9,10.3,0
2008,103027753,Allegheny,QUAKER VALLEY SD,8,28.8,41.9,13.8,15.6
2008,103027753,Allegheny,QUAKER VALLEY SD,11,20.8,36.8,32,10.4
2008,103028203,Allegheny,RIVERVIEW SD,4,61.3,29,8.1,1.6
2008,103028203,Allegheny,RIVERVIEW SD,8,15.4,38.5,25,21.2
2008,103028203,Allegheny,RIVERVIEW SD,11,8.1,23.3,44.2,24.4
2008,103028302,Allegheny,SHALER AREA SD,4,54.9,37.6,6.6,0.9
2008,103028302,Allegheny,SHALER AREA SD,8,21.1,35.4,25.9,17.6
2008,103028302,Allegheny,SHALER AREA SD,11,12,33.3,43.2,11.5
2008,103028653,Allegheny,SOUTH ALLEGHENY SD,4,28.4,54.3,12.9,4.3
2008,103028653,Allegheny,SOUTH ALLEGHENY SD,8,9.2,36.2,24.8,29.8
2008,103028653,Allegheny,SOUTH ALLEGHENY SD,11,6.2,21.5,47.7,24.6
2008,103028703,Allegheny,SOUTH FAYETTE TOWNSHIP SD,4,70.2,28.7,0.6,0.6
2008,103028703,Allegheny,SOUTH FAYETTE TOWNSHIP SD,8,28,46.9,19.6,5.6
2008,103028703,Allegheny,SOUTH FAYETTE TOWNSHIP SD,11,13.2,36.5,43.7,6.6
2008,103028753,Allegheny,SOUTH PARK SD,4,43.7,49,6.6,0.7
2008,103028753,Allegheny,SOUTH PARK SD,8,22,44.1,21,12.9
2008,103028753,Allegheny,SOUTH PARK SD,11,19,35.1,38.7,7.1
2008,103028833,Allegheny,STEEL VALLEY SD,4,42.3,43.1,8.5,6.2
2008,103028833,Allegheny,STEEL VALLEY SD,8,15.9,25.8,33.1,25.2
2008,103028833,Allegheny,STEEL VALLEY SD,11,5.4,20.4,53.1,21.1
2008,103028853,Allegheny,STO-ROX SD,4,20.6,40.2,28.9,10.3
2008,103028853,Allegheny,STO-ROX SD,8,2.8,17,22.6,57.5
2008,103028853,Allegheny,STO-ROX SD,11,4.9,17.5,42.7,35
2008,103029203,Allegheny,UPPER SAINT CLAIR SD,4,62,35.7,2.3,0
2008,103029203,Allegheny,UPPER SAINT CLAIR SD,8,50.4,37.8,9.4,2.4
2008,103029203,Allegheny,UPPER SAINT CLAIR SD,11,32,40.2,26.3,1.5
2008,103029403,Allegheny,WEST ALLEGHENY SD,4,51.9,40.3,5.6,2.1
2008,103029403,Allegheny,WEST ALLEGHENY SD,8,16.1,45,23.7,15.3
2008,103029403,Allegheny,WEST ALLEGHENY SD,11,6.3,25.8,53.1,14.8
2008,103029553,Allegheny,WEST JEFFERSON HILLS SD,4,56.5,39.7,3.3,0.5
2008,103029553,Allegheny,WEST JEFFERSON HILLS SD,8,24.8,46.8,20.2,8.3
2008,103029553,Allegheny,WEST JEFFERSON HILLS SD,11,12,32.1,48.2,7.6
2008,103029603,Allegheny,WEST MIFFLIN AREA SD,4,30.1,48,17.3,4.6
2008,103029603,Allegheny,WEST MIFFLIN AREA SD,8,10.3,33,28.3,28.3
2008,103029603,Allegheny,WEST MIFFLIN AREA SD,11,6.7,20.8,53.2,19.3
2008,103029803,Allegheny,WILKINSBURG BOROUGH SD,4,5.3,34.7,35.8,24.2
2008,103029803,Allegheny,WILKINSBURG BOROUGH SD,8,0,17,22.7,60.2
2008,103029803,Allegheny,WILKINSBURG BOROUGH SD,11,1.4,1.4,37.1,60
2008,103029902,Allegheny,WOODLAND HILLS SD,4,15.9,39.7,23.8,20.5
2008,103029902,Allegheny,WOODLAND HILLS SD,8,4.6,20,27.7,47.7
2008,103029902,Allegheny,WOODLAND HILLS SD,11,3,13.2,44.1,39.7
2008,128030603,Armstrong,APOLLO-RIDGE SD,4,22.8,45.5,20.3,11.4
2008,128030603,Armstrong,APOLLO-RIDGE SD,8,10.2,45.8,31.4,12.7
2008,128030603,Armstrong,APOLLO-RIDGE SD,11,7.1,17.9,48.8,26.2
2008,128030852,Armstrong,ARMSTRONG SD,4,42.9,45.3,9.9,1.9
2008,128030852,Armstrong,ARMSTRONG SD,8,13.2,38.8,25.4,22.6
2008,128030852,Armstrong,ARMSTRONG SD,11,5.7,25.7,55.7,12.9
2008,128033053,Armstrong,FREEPORT AREA SD,4,51.7,41.3,6.3,0.7
2008,128033053,Armstrong,FREEPORT AREA SD,8,22.6,49.7,17.6,10.1
