year,aun,county,district,grade,writing_a,writing_p,writing_b,writing_bb
2005,112011103,Adams,BERMUDIAN SPRINGS SD,11,5,61.3,17.5,16.3
2005,112011603,Adams,CONEWAGO VALLEY SD,11,4.2,55.5,21.5,18.9
2005,112013054,Adams,FAIRFIELD AREA SD,11,1,51.5,25.3,22.2
2005,112013753,Adams,GETTYSBURG AREA SD,11,5.5,65.2,13,16.2
2005,112015203,Adams,LITTLESTOWN AREA SD,11,3.5,60.8,17.5,18.1
2005,112018523,Adams,UPPER ADAMS SD,11,3.8,64.7,18.8,12.8
2005,103020603,Allegheny,ALLEGHENY VALLEY SD,11,11.8,71.6,10.8,5.9
2005,103020753,Allegheny,AVONWORTH SD,11,10.4,76,9.4,4.2
2005,103021102,Allegheny,BALDWIN-WHITEHALL SD,11,12.1,74.8,8.1,5
2005,103021252,Allegheny,BETHEL PARK SD,11,23.5,69.7,4.7,2.1
2005,103021453,Allegheny,BRENTWOOD BOROUGH SD,11,14.7,72.4,7.8,5.2
2005,103021603,Allegheny,CARLYNTON SD,11,7.5,67.2,13.4,11.9
2005,103021752,Allegheny,CHARTIERS VALLEY SD,11,10.7,78.1,7.4,3.7
2005,103021903,Allegheny,CLAIRTON CITY SD,11,1.8,48.2,23.2,26.8
2005,103022103,Allegheny,CORNELL SD,11,0,83.8,8.1,8.1
2005,103022253,Allegheny,DEER LAKES SD,11,13.2,62.6,13.2,10.9
2005,103022503,Allegheny,DUQUESNE CITY SD,11,0,61.5,17.9,20.5
2005,103022803,Allegheny,EAST ALLEGHENY SD,11,0,46,23,30.9
2005,103023153,Allegheny,ELIZABETH FORWARD SD,11,3.5,70.6,15.4,10.5
2005,103023912,Allegheny,FOX CHAPEL AREA SD,11,17.1,63.4,11.2,8.3
2005,103024102,Allegheny,GATEWAY SD,11,13.6,66.3,10.3,9.7
2005,103024603,Allegheny,HAMPTON TOWNSHIP SD,11,22.6,71,4,2.4
